sound_id,class,action
800055,fx-m,exclude
809707,m-sp,exclude
802309,m-si,exclude
813396,fx-h,exclude
800257,is-p,exclude
830178,sp-c,exclude
837650,fx-m,exclude
824615,fx-m,exclude
798192,is-p,exclude
800665,ss-i,exclude
837882,fx-m,exclude
809762,m-sp,exclude
841963,fx-n,exclude
802042,m-si,exclude
798256,is-p,exclude
800305,is-p,exclude
798788,is-p,exclude
799681,fx-m,exclude
829860,ss-s,exclude
830804,m-si,exclude
809708,m-sp,exclude
800264,is-p,exclude
798850,is-p,exclude
809639,m-sp,exclude
802000,m-si,exclude
798251,is-p,exclude
800271,is-p,exclude
809693,m-sp,exclude
802296,m-si,exclude
809770,m-sp,exclude
829129,fx-h,exclude
798281,is-p,exclude
824117,fx-h,exclude
824996,ss-u,exclude
809665,m-sp,exclude
802025,m-si,exclude
809632,m-sp,exclude
809747,m-sp,exclude
798262,is-p,exclude
809555,m-sp,exclude
798906,is-p,exclude
802300,m-si,exclude
798930,is-p,exclude
798856,is-p,exclude
810977,fx-m,exclude
798777,is-p,exclude
798794,is-p,exclude
809668,m-sp,exclude
798190,is-p,exclude
799734,fx-m,exclude
802301,m-si,exclude
798195,is-p,exclude
800057,fx-m,exclude
802008,m-si,exclude
798810,is-p,exclude
809660,m-sp,exclude
827578,fx-el,exclude
801988,m-si,exclude
798925,is-p,exclude
798847,is-p,exclude
807828,is-p,exclude
799685,fx-m,exclude
798968,is-p,exclude
798811,is-p,exclude
801980,m-si,exclude
802175,is-p,exclude
802420,is-p,exclude
799745,fx-m,exclude
798786,is-p,exclude
800320,is-p,exclude
800270,is-p,exclude
802043,m-si,exclude
798206,is-p,exclude
802297,m-si,exclude
809640,m-sp,exclude
835859,fx-h,exclude
842329,fx-m,exclude
801055,is-p,exclude
798803,is-p,exclude
798935,is-p,exclude
802319,m-si,exclude
801474,fx-m,exclude
800288,is-p,exclude
799429,is-p,exclude
799682,fx-m,exclude
801982,m-si,exclude
800318,is-p,exclude
823805,fx-h,exclude
841053,fx-h,exclude
801978,m-si,exclude
807817,is-p,exclude
825809,fx-h,exclude
798897,is-p,exclude
802009,m-si,exclude
801123,is-p,exclude
799679,fx-m,exclude
809582,m-sp,exclude
801047,is-p,exclude
802146,is-p,exclude
809287,m-sp,exclude
810980,fx-m,exclude
802140,is-p,exclude
798960,is-p,exclude
799617,fx-h,exclude
809309,m-sp,exclude
809296,m-sp,exclude
800263,is-p,exclude
802176,is-p,exclude
809664,m-sp,exclude
809576,m-sp,exclude
798804,is-p,exclude
799887,fx-m,exclude
831949,fx-ex,exclude
798302,is-p,exclude
809293,m-sp,exclude
809295,m-sp,exclude
802020,m-si,exclude
801150,is-p,exclude
817720,fx-m,exclude
809727,m-sp,exclude
799671,fx-m,exclude
802147,is-p,exclude
801131,is-p,exclude
803463,is-e,exclude
809724,m-sp,exclude
809710,m-sp,exclude
800309,is-p,exclude
831762,fx-m,exclude
813214,fx-m,exclude
798787,is-p,exclude
833877,fx-el,exclude
810978,fx-m,exclude
800256,is-p,exclude
798189,is-p,exclude
809621,m-sp,exclude
801488,fx-m,exclude
809571,m-sp,exclude
802434,is-p,exclude
798909,is-p,exclude
800298,is-p,exclude
825803,fx-h,exclude
825686,fx-a,exclude
799732,fx-m,exclude
829790,fx-m,exclude
842705,fx-h,exclude
798809,is-p,exclude
802308,m-si,exclude
802425,is-p,exclude
802180,is-p,exclude
800028,fx-m,exclude
801473,fx-m,exclude
799744,fx-m,exclude
801990,m-si,exclude
802002,m-si,exclude
824612,fx-m,exclude
801133,is-p,exclude
799949,fx-m,exclude
798287,is-p,exclude
809561,m-sp,exclude
809366,m-sp,exclude
808609,fx-el,exclude
831394,fx-m,exclude
800056,fx-m,exclude
798289,is-p,exclude
809618,m-sp,exclude
802446,is-p,exclude
798284,is-p,exclude
802304,m-si,exclude
809303,m-sp,exclude
802325,m-si,exclude
809291,m-sp,exclude
798795,is-p,exclude
798267,is-p,exclude
818607,fx-m,exclude
809549,m-sp,exclude
802414,is-p,exclude
802779,m-si,exclude
801169,is-p,exclude
830466,fx-h,exclude
801998,m-si,exclude
800259,is-p,exclude
809675,m-sp,exclude
817719,fx-m,exclude
802418,is-p,exclude
802394,m-si,exclude
800306,is-p,exclude
809377,m-sp,exclude
811640,sp-s,exclude
799720,fx-m,exclude
802426,is-p,exclude
800031,fx-m,exclude
809669,m-sp,exclude
798784,is-p,exclude
799755,fx-m,exclude
842858,is-e,exclude
809310,m-sp,exclude
809145,m-si,exclude
809755,m-sp,exclude
798921,is-p,exclude
809557,m-sp,exclude
827469,m-si,exclude
809674,m-sp,exclude
802018,m-si,exclude
809334,m-sp,exclude
798798,is-p,exclude
809477,m-sp,exclude
798271,is-p,exclude
801470,fx-m,exclude
809454,m-sp,exclude
827286,fx-h,exclude
826225,fx-h,exclude
801989,m-si,exclude
798961,is-p,exclude
827430,fx-m,exclude
840657,m-si,exclude
805361,fx-m,exclude
798296,is-p,exclude
800297,is-p,exclude
806544,ss-u,exclude
799721,fx-m,exclude
799680,fx-m,exclude
833817,fx-h,exclude
800253,is-p,exclude
809385,m-sp,exclude
820051,fx-h,exclude
807823,is-p,exclude
842697,fx-h,exclude
837651,fx-m,exclude
829560,m-m,exclude
809685,m-sp,exclude
798789,is-p,exclude
799851,fx-m,exclude
800316,is-p,exclude
809754,m-sp,exclude
799746,fx-m,exclude
837188,m-sp,exclude
799705,fx-m,exclude
811953,fx-m,exclude
812398,sp-c,exclude
801480,fx-m,exclude
840001,is-e,exclude
809720,m-sp,exclude
807776,fx-h,exclude
840785,ss-i,exclude
798781,is-p,exclude
800026,fx-m,exclude
809712,m-sp,exclude
801987,m-si,exclude
837189,m-sp,exclude
809496,m-sp,exclude
802019,m-si,exclude
800032,fx-m,exclude
807830,is-p,exclude
809749,m-sp,exclude
815401,m-si,exclude
809734,m-sp,exclude
809522,m-sp,exclude
802636,fx-h,exclude
818996,is-p,exclude
830220,fx-h,exclude
841562,is-e,exclude
799706,fx-m,exclude
802444,is-p,exclude
799893,fx-m,exclude
810730,fx-o,exclude
799733,fx-m,exclude
801516,fx-m,exclude
813212,fx-m,exclude
800030,fx-m,exclude
813561,is-p,exclude
832141,fx-ex,exclude
810731,fx-o,exclude
842701,fx-h,exclude
801544,fx-m,exclude
799842,fx-m,exclude
809553,m-sp,exclude
823185,is-p,exclude
840781,ss-i,exclude
811941,fx-h,exclude
813386,fx-h,exclude
799766,fx-m,exclude
810979,fx-m,exclude
809384,m-sp,exclude
799690,fx-m,exclude
800059,fx-m,exclude
800050,fx-m,exclude
808873,fx-m,exclude
840247,fx-h,exclude
802150,is-p,exclude
802591,fx-m,exclude
840878,fx-v,exclude
809595,m-sp,exclude
809681,m-sp,exclude
813564,is-p,exclude
799741,fx-m,exclude
802429,is-p,exclude
824798,fx-m,exclude
825301,is-p,exclude
801985,m-si,exclude
840927,ss-i,exclude
798932,is-p,exclude
809503,m-sp,exclude
842638,fx-h,exclude
800014,fx-m,exclude
798931,is-p,exclude
802435,is-p,exclude
809709,m-sp,exclude
827281,is-p,exclude
799898,fx-m,exclude
840782,ss-i,exclude
809630,m-sp,exclude
809482,m-sp,exclude
809725,m-sp,exclude
809587,m-sp,exclude
809348,m-sp,exclude
816805,fx-h,exclude
828058,fx-h,exclude
801127,is-p,exclude
809485,m-sp,exclude
809407,is-p,exclude
809471,m-sp,exclude
809480,m-sp,exclude
803266,fx-m,exclude
807819,is-p,exclude
809745,m-sp,exclude
809678,m-sp,exclude
799761,fx-m,exclude
809575,m-sp,exclude
834356,fx-v,exclude
839256,fx-el,exclude
809682,m-sp,exclude
813215,fx-m,exclude
809369,m-sp,exclude
798766,is-p,exclude
809592,m-sp,exclude
841570,is-e,exclude
809759,m-sp,exclude
824116,fx-h,exclude
799888,fx-m,exclude
800254,is-p,exclude
799729,fx-m,exclude
827447,fx-el,exclude
798922,is-p,exclude
798929,is-p,exclude
798903,is-p,exclude
824629,fx-m,exclude
809615,m-sp,exclude
801992,m-si,exclude
809486,m-sp,exclude
802412,is-p,exclude
800943,is-p,exclude
799902,fx-m,exclude
816093,is-p,exclude
809071,m-si,exclude
802013,m-si,exclude
799073,is-s,exclude
809474,m-sp,exclude
820349,fx-m,exclude
798814,is-p,exclude
831623,fx-m,exclude
805265,fx-o,exclude
802015,m-si,exclude
799704,fx-m,exclude
840777,ss-i,exclude
807831,is-p,exclude
842700,fx-h,exclude
798274,is-p,exclude
799684,fx-m,exclude
802131,is-p,exclude
801471,fx-m,exclude
809518,m-sp,exclude
807983,fx-ex,exclude
842863,is-e,exclude
800317,is-p,exclude
816134,is-p,exclude
801506,fx-m,exclude
812448,fx-h,exclude
798846,is-p,exclude
800304,is-p,exclude
799891,fx-m,exclude
809072,m-si,exclude
799674,fx-m,exclude
799723,fx-m,exclude
802387,m-si,exclude
798892,fx-m,exclude
809514,m-sp,exclude
809751,m-sp,exclude
802036,m-si,exclude
802023,m-si,exclude
798919,is-p,exclude
842796,is-p,exclude
807816,is-p,exclude
832150,fx-ex,exclude
798816,is-p,exclude
809683,m-sp,exclude
798182,is-p,exclude
809483,m-sp,exclude
801151,is-p,exclude
834143,fx-el,exclude
809620,m-sp,exclude
799917,fx-m,exclude
841572,is-e,exclude
798808,is-p,exclude
816704,is-p,exclude
802133,is-p,exclude
842879,is-e,exclude
829259,is-p,exclude
809722,m-sp,exclude
833880,fx-el,exclude
810193,fx-h,exclude
798812,is-p,exclude
807833,is-p,exclude
816772,fx-h,exclude
809305,m-sp,exclude
799700,fx-m,exclude
798201,is-p,exclude
809680,m-sp,exclude
800060,fx-m,exclude
798202,is-p,exclude
806863,fx-m,exclude
829499,fx-el,exclude
802393,m-si,exclude
831761,fx-m,exclude
809516,m-sp,exclude
807337,ss-s,exclude
800020,fx-m,exclude
798764,is-p,exclude
800051,fx-m,exclude
818441,fx-h,exclude
820053,fx-o,exclude
809352,m-sp,exclude
809698,m-sp,exclude
809493,m-sp,exclude
798853,is-p,exclude
799687,fx-m,exclude
798796,is-p,exclude
817940,fx-m,exclude
809374,m-sp,exclude
798775,is-p,exclude
809752,m-sp,exclude
801484,fx-m,exclude
802016,m-si,exclude
809666,m-sp,exclude
832180,m-si,exclude
801469,fx-m,exclude
809030,m-m,exclude
841569,is-e,exclude
802445,is-p,exclude
809635,m-sp,exclude
801993,m-si,exclude
841976,ss-u,exclude
809619,m-sp,exclude
798851,is-p,exclude
799726,fx-m,exclude
798291,is-p,exclude
820184,is-p,exclude
809297,m-sp,exclude
840774,ss-i,exclude
802006,m-si,exclude
809376,m-sp,exclude
799071,is-s,exclude
802410,is-p,exclude
809673,m-sp,exclude
842887,is-e,exclude
809733,m-sp,exclude
840779,ss-i,exclude
820348,fx-m,exclude
801481,fx-m,exclude
799752,fx-m,exclude
801517,fx-m,exclude
809547,m-sp,exclude
841143,fx-h,exclude
829866,ss-s,exclude
832623,fx-h,exclude
801045,is-p,exclude
832148,fx-ex,exclude
810212,fx-el,exclude
842881,is-e,exclude
800295,is-p,exclude
809363,m-sp,exclude
799897,fx-m,exclude
802155,is-p,exclude
809512,m-sp,exclude
799077,is-s,exclude
804612,sp-s,exclude
817679,fx-h,exclude
807517,fx-h,exclude
833244,ss-i,exclude
799622,fx-h,exclude
801502,fx-m,exclude
809573,m-sp,exclude
798204,is-p,exclude
840784,ss-i,exclude
802302,m-si,exclude
824627,fx-m,exclude
842857,is-e,exclude
819078,is-p,exclude
799810,fx-m,exclude
833881,fx-el,exclude
799731,fx-m,exclude
800000,fx-m,exclude
798965,is-p,exclude
809358,m-sp,exclude
799966,fx-m,exclude
825681,fx-a,exclude
798815,is-p,exclude
840775,ss-i,exclude
809306,m-sp,exclude
802431,is-p,exclude
799427,is-p,exclude
798911,is-p,exclude
809777,m-sp,exclude
842860,is-e,exclude
842508,fx-h,exclude
799757,fx-m,exclude
801477,fx-m,exclude
807825,is-p,exclude
809515,m-sp,exclude
799670,fx-m,exclude
805552,is-p,exclude
799759,fx-m,exclude
801148,is-p,exclude
809718,m-sp,exclude
801979,m-si,exclude
842865,is-e,exclude
809346,m-sp,exclude
823299,fx-h,exclude
799827,fx-m,exclude
799103,is-s,exclude
806523,ss-u,exclude
809508,m-sp,exclude
799742,fx-m,exclude
800024,fx-m,exclude
826644,fx-el,exclude
828970,ss-u,exclude
801543,fx-m,exclude
798254,is-p,exclude
799692,fx-m,exclude
827001,fx-ex,exclude
813213,fx-m,exclude
800010,fx-m,exclude
809506,m-sp,exclude
798819,is-p,exclude
799813,fx-m,exclude
798295,is-p,exclude
841856,fx-h,exclude
802031,m-si,exclude
809692,m-sp,exclude
802423,is-p,exclude
812419,fx-h,exclude
801463,fx-m,exclude
802439,m-sp,exclude
832137,fx-ex,exclude
801479,fx-m,exclude
804920,fx-ex,exclude
809594,m-sp,exclude
809655,m-sp,exclude
809288,m-sp,exclude
825685,fx-a,exclude
799703,fx-m,exclude
809579,m-sp,exclude
805470,fx-h,exclude
832156,fx-ex,exclude
841767,ss-u,exclude
799896,fx-m,exclude
809523,m-sp,exclude
809458,m-sp,exclude
842839,is-p,exclude
809659,m-sp,exclude
800329,is-p,exclude
842395,fx-h,exclude
838838,fx-h,exclude
807202,is-p,exclude
816837,fx-h,exclude
808052,is-p,exclude
815501,fx-m,exclude
803608,is-p,exclude
819071,is-e,exclude
805515,is-p,exclude
823188,is-p,exclude
832160,fx-ex,exclude
827375,is-p,exclude
799751,fx-m,exclude
809307,m-sp,exclude
802007,m-si,exclude
800017,fx-m,exclude
802599,fx-h,exclude
809684,m-sp,exclude
813209,fx-m,exclude
809361,m-sp,exclude
826359,is-s,exclude
812359,fx-h,exclude
808217,ss-u,exclude
815429,fx-h,exclude
811580,ss-s,exclude
799892,fx-m,exclude
815630,fx-h,exclude
799426,is-p,exclude
800016,fx-m,exclude
806921,fx-el,exclude
799828,fx-m,exclude
804473,sp-s,exclude
824625,fx-m,exclude
809670,m-sp,exclude
801508,fx-m,exclude
807824,is-p,exclude
830783,m-si,exclude
813403,fx-h,exclude
819120,is-p,exclude
801976,m-si,exclude
804618,sp-s,exclude
799707,fx-m,exclude
816996,fx-h,exclude
840776,ss-i,exclude
800035,fx-m,exclude
809341,m-sp,exclude
816738,fx-h,exclude
832149,fx-ex,exclude
809654,m-sp,exclude
800872,sp-s,exclude
799739,fx-m,exclude
834142,fx-el,exclude
807239,ss-u,exclude
802151,is-p,exclude
800287,is-p,exclude
801164,is-p,exclude
813417,fx-h,exclude
842702,fx-h,exclude
813422,fx-h,exclude
809548,m-sp,exclude
823189,is-p,exclude
805530,is-p,exclude
800333,is-p,exclude
799863,fx-m,exclude
800313,is-p,exclude
809289,m-sp,exclude
800290,is-p,exclude
801132,is-p,exclude
802340,m-si,exclude
824624,fx-m,exclude
823187,is-p,exclude
832155,fx-ex,exclude
813366,fx-h,exclude
813565,is-p,exclude
799754,fx-m,exclude
799701,fx-m,exclude
842576,ss-n,exclude
818825,is-k,exclude
809128,m-si,exclude
809661,m-sp,exclude
800025,fx-m,exclude
809609,m-sp,exclude
816649,fx-m,exclude
799499,fx-h,exclude
824598,fx-m,exclude
814238,fx-ex,exclude
799885,fx-m,exclude
799709,fx-m,exclude
817240,is-e,exclude
800296,is-p,exclude
799699,fx-m,exclude
809298,m-sp,exclude
801504,fx-m,exclude
823190,is-p,exclude
839261,fx-el,exclude
802342,m-si,exclude
801466,fx-m,exclude
832140,fx-ex,exclude
827467,m-si,exclude
815183,is-p,exclude
842859,is-e,exclude
799718,fx-m,exclude
832142,fx-ex,exclude
800036,fx-m,exclude
798805,is-p,exclude
799770,fx-m,exclude
809351,m-sp,exclude
825923,is-e,exclude
824801,fx-m,exclude
799715,fx-m,exclude
799711,fx-m,exclude
809312,m-sp,exclude
799774,fx-m,exclude
820350,fx-m,exclude
799090,is-s,exclude
809283,m-sp,exclude
809356,m-sp,exclude
801054,is-p,exclude
825684,fx-a,exclude
799089,is-s,exclude
798266,is-p,exclude
810898,fx-h,exclude
801128,is-p,exclude
808607,fx-el,exclude
801880,fx-o,exclude
802306,m-si,exclude
801468,fx-m,exclude
812415,fx-h,exclude
842328,fx-m,exclude
799730,fx-m,exclude
809462,m-sp,exclude
809340,m-sp,exclude
800048,fx-m,exclude
799032,is-s,exclude
839780,fx-o,exclude
803809,is-p,exclude
799843,fx-m,exclude
800033,fx-m,exclude
802137,is-p,exclude
799658,fx-h,exclude
809304,m-sp,exclude
799738,fx-m,exclude
809451,ss-s,exclude
832144,fx-ex,exclude
823222,fx-h,exclude
800294,is-p,exclude
836694,fx-m,exclude
799928,fx-m,exclude
829739,is-p,exclude
809591,m-sp,exclude
809492,m-sp,exclude
798820,is-p,exclude
802138,is-p,exclude
811947,fx-h,exclude
799405,m-si,exclude
832146,fx-ex,exclude
812300,sp-s,exclude
841142,fx-h,exclude
812296,sp-s,exclude
809689,m-sp,exclude
798958,is-p,exclude
815243,fx-a,exclude
809337,m-sp,exclude
799683,fx-m,exclude
830505,ss-u,exclude
798272,is-p,exclude
842864,is-e,exclude
808032,m-si,exclude
834141,fx-el,exclude
802303,m-si,exclude
812412,fx-el,exclude
832154,fx-ex,exclude
799740,fx-m,exclude
809688,m-sp,exclude
809556,m-sp,exclude
800321,is-p,exclude
802598,fx-h,exclude
799736,fx-m,exclude
808736,fx-h,exclude
802128,is-p,exclude
828774,fx-v,exclude
798916,is-p,exclude
800258,is-p,exclude
830791,m-si,exclude
801134,is-p,exclude
803535,sp-s,exclude
798806,is-p,exclude
798273,is-p,exclude
832101,fx-m,exclude
800681,fx-h,exclude
800006,fx-m,exclude
824344,m-m,exclude
833879,fx-el,exclude
802901,is-e,exclude
798898,m-sp,exclude
798286,is-p,exclude
809383,m-sp,exclude
813414,fx-h,exclude
800312,is-p,exclude
799743,fx-m,exclude
823186,is-p,exclude
841313,sp-s,exclude
842393,fx-h,exclude
831964,fx-v,exclude
798900,is-p,exclude
824599,fx-m,exclude
801464,fx-m,exclude
799913,fx-m,exclude
799696,fx-m,exclude
818603,fx-m,exclude
798801,is-p,exclude
838064,ss-i,exclude
798770,is-p,exclude
809696,m-sp,exclude
804690,fx-h,exclude
802380,m-si,exclude
811159,is-p,exclude
799933,fx-m,exclude
799938,fx-m,exclude
800692,m-si,exclude
801512,fx-m,exclude
799855,fx-m,exclude
805527,is-p,exclude
801467,fx-m,exclude
824628,fx-m,exclude
832932,fx-el,exclude
799948,fx-m,exclude
819564,is-p,exclude
799958,fx-m,exclude
805544,is-p,exclude
809671,m-sp,exclude
829052,is-p,exclude
809574,m-sp,exclude
809719,m-sp,exclude
809339,m-sp,exclude
832147,fx-ex,exclude
798294,is-p,exclude
798278,is-p,exclude
799845,fx-m,exclude
809495,m-sp,exclude
805158,fx-n,exclude
839263,fx-el,exclude
800018,fx-m,exclude
809370,m-sp,exclude
809290,m-sp,exclude
799812,fx-m,exclude
800037,fx-m,exclude
828061,fx-h,exclude
815033,m-si,exclude
826444,fx-h,exclude
824597,fx-m,exclude
809362,m-sp,exclude
812299,sp-s,exclude
809375,m-sp,exclude
799510,fx-o,exclude
800266,is-p,exclude
799665,fx-m,exclude
799403,m-si,exclude
799033,is-s,exclude
811269,sp-s,exclude
801505,fx-m,exclude
809494,m-sp,exclude
819957,is-k,exclude
800690,m-si,exclude
809368,m-sp,exclude
798259,is-p,exclude
802396,m-si,exclude
809608,m-sp,exclude
799760,fx-m,exclude
801129,is-p,exclude
832143,fx-ex,exclude
801520,fx-m,exclude
810359,fx-o,exclude
802442,is-p,exclude
842577,fx-n,exclude
818819,fx-h,exclude
820270,is-p,exclude
799788,fx-m,exclude
825926,is-e,exclude
829501,fx-h,exclude
823149,fx-ex,exclude
822350,fx-o,exclude
809768,m-sp,exclude
800029,fx-m,exclude
828894,fx-o,exclude
807391,fx-h,exclude
834144,fx-el,exclude
801168,is-p,exclude
800269,is-p,exclude
799749,fx-m,exclude
829144,fx-o,exclude
801974,m-si,exclude
799807,fx-m,exclude
799085,is-s,exclude
830551,m-si,exclude
813275,ss-u,exclude
798934,is-p,exclude
799716,fx-m,exclude
837041,fx-h,exclude
832151,fx-ex,exclude
840494,fx-m,exclude
798818,is-p,exclude
799370,m-si,exclude
824640,fx-m,exclude
830516,ss-u,exclude
808716,is-p,exclude
820337,is-e,exclude
842475,fx-h,exclude
803718,fx-a,exclude
837183,m-sp,exclude
825882,is-e,exclude
802776,m-si,exclude
800038,fx-m,exclude
828309,fx-m,exclude
832131,fx-ex,exclude
820294,is-p,exclude
811647,ss-i,exclude
805543,is-p,exclude
798250,is-p,exclude
799698,fx-m,exclude
820190,is-p,exclude
816873,fx-h,exclude
802405,is-p,exclude
813669,m-si,exclude
799659,fx-h,exclude
832145,fx-ex,exclude
809353,m-sp,exclude
801986,m-si,exclude
832153,fx-ex,exclude
809631,m-sp,exclude
800004,fx-m,exclude
830552,m-si,exclude
829797,fx-el,exclude
802832,m-si,exclude
816926,fx-o,exclude
799691,fx-m,exclude
799999,fx-m,exclude
830786,m-si,exclude
808328,fx-h,exclude
798825,is-s,exclude
801491,fx-m,exclude
827288,is-p,exclude
802153,is-p,exclude
812418,sp-s,exclude
828333,fx-ex,exclude
801478,fx-m,exclude
801130,is-p,exclude
802378,m-si,exclude
822355,fx-o,exclude
801546,fx-m,exclude
810382,fx-o,exclude
804621,sp-s,exclude
832159,fx-ex,exclude
799994,fx-m,exclude
800672,fx-n,exclude
800260,is-p,exclude
830784,m-si,exclude
799748,fx-m,exclude
820353,fx-m,exclude
809381,m-sp,exclude
805673,fx-h,exclude
826734,fx-h,exclude
824855,is-p,exclude
809629,m-sp,exclude
837184,m-sp,exclude
800046,fx-m,exclude
819566,is-p,exclude
824630,fx-m,exclude
835920,fx-h,exclude
813560,is-p,exclude
799695,fx-m,exclude
824835,fx-o,exclude
809700,m-sp,exclude
841145,fx-h,exclude
825927,is-e,exclude
801498,fx-m,exclude
805532,is-p,exclude
829714,ss-i,exclude
831691,m-si,exclude
801451,fx-m,exclude
827538,fx-m,exclude
801994,m-si,exclude
801465,fx-m,exclude
812423,fx-h,exclude
809347,m-sp,exclude
809647,m-sp,exclude
823184,is-p,exclude
840232,m-si,exclude
809686,m-sp,exclude
811946,fx-h,exclude
809944,fx-o,exclude
802038,m-si,exclude
840249,fx-h,exclude
799038,is-s,exclude
824802,fx-m,exclude
811270,sp-s,exclude
809658,m-sp,exclude
801882,fx-o,exclude
801513,fx-m,exclude
809564,m-sp,exclude
809773,m-sp,exclude
808720,m-m,exclude
825680,fx-a,exclude
816434,m-m,exclude
799996,fx-m,exclude
839266,fx-el,exclude
816527,fx-el,exclude
799677,fx-m,exclude
799724,fx-m,exclude
841561,is-e,exclude
809292,m-sp,exclude
842421,fx-h,exclude
799750,fx-m,exclude
842434,fx-h,exclude
798245,ss-i,exclude
831963,fx-n,exclude
809667,m-sp,exclude
799879,fx-m,exclude
799985,fx-m,exclude
803534,sp-s,exclude
809501,m-sp,exclude
813211,fx-m,exclude
841155,fx-o,exclude
800021,fx-m,exclude
801490,fx-m,exclude
812297,sp-s,exclude
799895,fx-m,exclude
801051,is-p,exclude
842449,fx-h,exclude
798905,is-p,exclude
835122,is-p,exclude
802600,fx-h,exclude
830554,m-si,exclude
808618,is-p,exclude
840945,m-si,exclude
799831,fx-m,exclude
826180,is-p,exclude
823087,fx-o,exclude
799620,fx-h,exclude
803559,is-p,exclude
842861,is-e,exclude
811118,fx-h,exclude
809633,m-sp,exclude
799710,fx-m,exclude
814875,fx-ex,exclude
801510,fx-m,exclude
805536,is-p,exclude
809478,m-sp,exclude
841965,fx-n,exclude
802132,is-p,exclude
805519,is-p,exclude
809672,m-sp,exclude
802382,m-si,exclude
825438,is-p,exclude
809637,m-sp,exclude
807899,ss-i,exclude
801149,is-p,exclude
833878,fx-el,exclude
802012,m-si,exclude
833957,m-si,exclude
800986,fx-h,exclude
824645,fx-m,exclude
809780,m-sp,exclude
802699,fx-o,exclude
809481,m-sp,exclude
842867,is-e,exclude
